no,elapsed_ms,waktu,sample_id,batch_id,label,mq135_ratio,mq3_ratio,mq4_ratio,tgs_ratio,suhu,lembap
237,379306,23.43.22,1,NASI-1,LAYAK,0.887,0.8695,0.9911,0.9829,30.2,98.4
238,379715,23.43.23,1,NASI-1,LAYAK,0.8984,0.8821,1.0198,0.9959,30.3,98.1
239,380330,23.43.23,1,NASI-1,LAYAK,0.887,0.8731,0.9938,0.9865,30.3,98.1
240,380739,23.43.24,1,NASI-1,LAYAK,0.8964,0.8827,1.0198,1.0018,30.3,98.1
241,381149,23.43.24,1,NASI-1,LAYAK,0.8863,0.8707,0.9984,0.9872,30.3,98.1
242,381763,23.43.25,1,NASI-1,LAYAK,0.8917,0.8821,1.0198,1.0099,30.3,98.1
243,382173,23.43.25,1,NASI-1,LAYAK,0.8771,0.8713,0.9958,0.9843,30.3,98.7
244,382788,23.43.26,1,NASI-1,LAYAK,0.917,0.8725,0.9964,0.9814,30.3,98.7
245,383197,23.43.26,1,NASI-1,LAYAK,0.8937,0.8773,1.0198,0.9937,30.3,98.7
246,383822,23.43.27,1,NASI-1,LAYAK,0.8797,0.8695,0.9964,0.9821,30.3,98.7
247,384221,23.43.27,1,NASI-1,LAYAK,0.8764,0.8797,1.0198,0.9944,30.3,98.7
248,384835,23.43.28,1,NASI-1,LAYAK,0.887,0.8677,0.9964,0.985,30.3,97.8
249,385245,23.43.28,1,NASI-1,LAYAK,0.8725,0.8833,1.0198,0.9988,30.3,97.8
250,385655,23.43.29,1,NASI-1,LAYAK,0.8501,0.8695,0.9938,0.9843,30.3,97.8
251,386279,23.43.29,1,NASI-1,LAYAK,0.8667,0.8713,0.9964,0.9821,30.3,97.8
252,386679,23.43.30,1,NASI-1,LAYAK,0.868,0.8695,0.9905,0.98,30.3,97.8
253,387293,23.43.30,1,NASI-1,LAYAK,0.8622,0.8713,0.9944,0.9793,30.2,97.2
254,387703,23.43.31,1,NASI-1,LAYAK,0.8771,0.8809,1.0044,0.9988,30.2,97.2
255,388317,23.43.31,1,NASI-1,LAYAK,0.2336,0.8671,0.9931,0.9701,30.2,97.2
256,388727,23.43.32,1,NASI-1,LAYAK,0.2405,0.8737,1.0037,0.9901,30.2,97.2
257,389137,23.43.32,1,NASI-1,LAYAK,0.2343,0.8641,0.9892,0.9729,30.2,97.2
258,389751,23.43.33,1,NASI-1,LAYAK,0.2346,0.8665,0.9859,0.975,30.3,97.2
